año,pob_1,pob_2,pob_3,pob_9,pob_4,pob_7,pob_8,pob_5,pob_6,pob_10,pob_total,pob_11,pob_12,pob_13,pob_14,pob_16,pob_17,pob_15,pob_18,pob_19,pob_20,pob_21,pob_22,pob_23,pob_24,pob_25,pob_26,pob_27,pob_28,pob_29,pob_30,pob_31,pob_32
2008m2,762307.8667,2064898.55,407962.6667,6601636.1,552862.75,2915994.05,2242133.483,1827505.867,434810.4667,1063980.183,74735371.87,3532577.967,2130585.7,1743573.133,4881082.233,2847609.733,1189885.333,10101179,716031.65,3179392.517,2466604.117,3753403.2,1183201.833,830013.35,1701465.433,1883774.567,1775270.417,1462329.083,2185599.9,769116.5833,5202208.717,1348453.05,977923.9
2008m3,764239.1333,2071457.7,409756.3333,6606587.4,554021.5,2923782.7,2245541.767,1831234.133,436127.5333,1065928.567,74895718.13,3541945.533,2135541.8,1748393.867,4891800.267,2854123.267,1193032.667,10124406,718041.1,3185991.233,2472054.633,3760826.8,1186972.667,834136.9,1704704.067,1887497.933,1779579.833,1465884.167,2189018.6,770740.1667,5211489.033,1351044.7,979817.6
2008m4,766170.4,2078016.85,411550,6611538.7,555180.25,2931571.35,2248950.05,1834962.4,437444.6,1067876.95,75056064.4,3551313.1,2140497.9,1753214.6,4902518.3,2860636.8,1196180,10147633,720050.55,3192589.95,2477505.15,3768250.4,1190743.5,838260.45,1707942.7,1891221.3,1783889.25,1469439.25,2192437.3,772363.75,5220769.35,1353636.35,981711.3
2008m5,768101.6667,2084576,413343.6667,6616490,556339,2939360,2252358.333,1838690.667,438761.6667,1069825.333,75216410.67,3560680.667,2145454,1758035.333,4913236.333,2867150.333,1199327.333,10170860,722060,3199188.667,2482955.667,3775674,1194514.333,842384,1711181.333,1894944.667,1788198.667,1472994.333,2195856,773987.3333,5230049.667,1356228,983605
2008m6,770032.9333,2091135.15,415137.3333,6621441.3,557497.75,2947148.65,2255766.617,1842418.933,440078.7333,1071773.717,75376756.93,3570048.233,2150410.1,1762856.067,4923954.367,2873663.867,1202474.667,10194087,724069.45,3205787.383,2488406.183,3783097.6,1198285.167,846507.55,1714419.967,1898668.033,1792508.083,1476549.417,2199274.7,775610.9167,5239329.983,1358819.65,985498.7
2008m7,771964.2,2097694.3,416931,6626392.6,558656.5,2954937.3,2259174.9,1846147.2,441395.8,1073722.1,75537103.2,3579415.8,2155366.2,1767676.8,4934672.4,2880177.4,1205622,10217314,726078.9,3212386.1,2493856.7,3790521.2,1202056,850631.1,1717658.6,1902391.4,1796817.5,1480104.5,2202693.4,777234.5,5248610.3,1361411.3,987392.4
2008m8,773895.4667,2104253.45,418724.6667,6631343.9,559815.25,2962725.95,2262583.183,1849875.467,442712.8667,1075670.483,75697449.47,3588783.367,2160322.3,1772497.533,4945390.433,2886690.933,1208769.333,10240541,728088.35,3218984.817,2499307.217,3797944.8,1205826.833,854754.65,1720897.233,1906114.767,1801126.917,1483659.583,2206112.1,778858.0833,5257890.617,1364002.95,989286.1
2008m9,775826.7333,2110812.6,420518.3333,6636295.2,560974,2970514.6,2265991.467,1853603.733,444029.9333,1077618.867,75857795.73,3598150.933,2165278.4,1777318.267,4956108.467,2893204.467,1211916.667,10263768,730097.8,3225583.533,2504757.733,3805368.4,1209597.667,858878.2,1724135.867,1909838.133,1805436.333,1487214.667,2209530.8,780481.6667,5267170.933,1366594.6,991179.8
2008m10,777758,2117371.75,422312,6641246.5,562132.75,2978303.25,2269399.75,1857332,445347,1079567.25,76018142,3607518.5,2170234.5,1782139,4966826.5,2899718,1215064,10286995,732107.25,3232182.25,2510208.25,3812792,1213368.5,863001.75,1727374.5,1913561.5,1809745.75,1490769.75,2212949.5,782105.25,5276451.25,1369186.25,993073.5
2008m11,779689.2667,2123930.9,424105.6667,6646197.8,563291.5,2986091.9,2272808.033,1861060.267,446664.0667,1081515.633,76178488.27,3616886.067,2175190.6,1786959.733,4977544.533,2906231.533,1218211.333,10310222,734116.7,3238780.967,2515658.767,3820215.6,1217139.333,867125.3,1730613.133,1917284.867,1814055.167,1494324.833,2216368.2,783728.8333,5285731.567,1371777.9,994967.2
